year,quarter,passengers,flights,cargo_tonnage,,,
1990,1,20289163,322052,328486,,,
1990,2,27657383,378136,335270,,,
1990,3,33293638,403833,340224,,,
1990,4,22456038,337364,364582,,,
1991,1,17663921,295982,301259,,,
1991,2,24803646,355813,315690,,,
1991,3,31865789,402686,324653,,,
1991,4,22950007,352348,361922,,,
1992,1,20836846,337869,335578,,,
1992,2,28624220,396504,350504,,,
1992,3,34731830,425577,353882,,,
1992,4,23890774,353725,383786,,,
1993,1,21813844,338910,354904,,,
1993,2,29893859,401857,376611,,,
1993,3,36721840,439682,401446,,,
1993,4,25796605,370895,443161,,,
1994,1,23649717,337257,400988,,,
1994,2,32225758,398551,432833,,,
1994,3,40266270,437153,446425,,,
1994,4,28089310,374164,481327,,,
1995,1,24965585,356560,449425,,,
1995,2,34747267,415939,468817,,,
1995,3,41821523,450675,464037,,,
1995,4,29869887,388535,500254,,,
1996,1,27505427,376715,467044,,,
1996,2,35695908,433190,488078,,,
1996,3,42588542,469057,484693,,,
1996,4,32080672,409048,532093,,,
1997,1,29296610,389403,498610,,,
1997,2,38838411,453662,526821,,,
1997,3,46042973,483497,538617,,,
1997,4,34576908,431019,595541,,,
1998,1,31433937,413567,547258,,,
1998,2,42073694,476278,567958,,,
1998,3,50155278,516424,572221,,,
1998,4,37318729,456589,609252,,,
1999,1,34010903,431767,556730,,,
1999,2,44032553,497963,575807,,,
1999,3,52749216,540560,611218,,,
1999,4,39271250,476451,666200,,,
2000,1,35841660,465055,610513,,,
2000,2,47513866,518258,627411,,,
2000,3,56324086,562873,641460,,,
2000,4,42155274,494752,673370,,,
2001,1,37627234,476664,607443,,,
2001,2,49233970,543737,605220,,,
2001,3,57062199,577137,565768,,,
2001,4,39076743,485556,596618,,,
2002,1,37984761,461504,566668,,,
2002,2,48816747,530417,594239,,,
2002,3,58969804,571627,601050,,,
2002,4,44711949,511060,635339,,,
2003,1,40536305,486486,585056,,,
2003,2,51388971,539274,592679,,,
2003,3,62086369,587190,574843,,,
2003,4,47903657,521706,646850,,,
2004,1,44390941,512716,617541,,,
2004,2,56164286,574926,645680,,,
2004,3,66143405,616642,643717,,,
2004,4,50950860,550523,697205,,,
2005,1,47790049,534318,617644,,,
2005,2,59666982,615050,645978,,,
2005,3,69681481,657183,633279,,,
2005,4,53022087,573116,689719,,,
2006,1,48880997,556588,626691,,,
2006,2,62985095,625994,630922,,,
2006,3,71079230,662918,623250,,,
2006,4,54303524,581711,636173,,,
2007,1,50317670,565860,602727,,,
2007,2,63295108,635902,627902,,,
2007,3,73552123,674150,639077,,,
2007,4,55656557,587447,675947,,,
2008,1,51533621,560886,638543,,,
2008,2,63011826,640082,650829,,,
2008,3,72095685,665575,630516,,,
2008,4,51655981,547684,611132,,,
2009,1,45094273,506352,521588,,,
2009,2,58066419,576240,532602,,,
2009,3,68015509,611226,573746,,,
2009,4,49699093,508544,641183,,,
2010,1,44022435,472756,611674,,,
2010,2,52865514,519094,619351,,,
2010,3,67963271,601921,657747,,,
2010,4,48493640,485571,654688,,,
2011,1,44284491,479326,622063,,,
2011,2,59151983,558269,633193,,,
2011,3,68842915,596098,626248,,,
2011,4,49834705,493423,649161,,,
2012,1,45183695,471515,619651,,,
2012,2,59389254,553158,630692,,,
2012,3,68169462,583585,636285,,,
2012,4,50738917,485655,652313,,,
2013,1,45500497,453229,600553,,,
2013,2,61576303,559507,614159,,,
2013,3,71434402,596303,612230,,,
2013,4,52815849,496976,654332,,,
2014,1,46891769,457825,603141,,,
2014,2,64731980,560888,620192,,,
2014,3,74161954,599028,625871,,,
2014,4,55565853,502459,670816,,,
2015,1,50376898,471272,614324,,,
2015,2,67368945,568914,615756,,,
2015,3,78220308,611306,615868,,,
2015,4,58588390,513270,670841,,,
2016,1,54275494,488255,619662,,,
2016,2,70759851,589319,641096,,,
2016,3,83282906,641267,628912,,,
2016,4,63171531,537532,689986,,,
2017,1,57979112,503836,653343,,,
2017,2,76999700,610157,689721,,,
